name,price,description,
Item0,0.25,Item0 description,
Item1,0.50,Item1 description,
Item2,0.75,Item2 description,
Item3,1.00,Item3 description,
Item4,1.25,Item4 description,
Item5,1.50,Item5 description,
Item6,1.75,Item6 description,
Item7,2.00,Item7 description,
Item8,2.25,Item8 description,
Item9,2.50,Item9 description,
Item10,2.75,Item10 description,
Item11,3.00,Item11 description,
Item12,3.25,Item12 description,
Item13,3.50,Item13 description,
Item14,3.75,Item14 description,
Item15,4.00,Item15 description,
